age,salary,anomaly_score,is_anomaly
22,50291,0.06147171719540245,0
27,30772,0.010323673327672256,0
41,76634,0.1298938546109507,0
42,107693,0.10412903175960975,0
46,64370,0.14088958669346535,0
21,80823,0.0628559697573855,0
20,47457,0.031216165692514175,0
49,113847,0.0850456566765016,0
25,35034,0.05149908703926431,0
27,90760,0.07987754211027898,0
28,64359,0.14030305438836477,0
29,46845,0.11396089595586584,0
41,31497,0.05318913555052884,0
30,66867,0.1293371639326913,0
32,46846,0.11571371163304595,0
23,72812,0.10922936625979657,0
49,90022,0.1050446790750964,0
42,51062,0.10374286598657217,0
39,59119,0.12148917686934985,0
45,107039,0.11070316938439784,0
33,43792,0.10941440982408795,0
39,111640,0.08865204745988992,0
48,104723,0.08887313704422645,0
59,77045,0.03319070675754909,0
48,75214,0.11933439055030909,0
59,109317,-0.008887616627787032,1
44,66170,0.13301567629438404,0
27,57809,0.13414530220084042,0
26,58358,0.1338833964821094,0
25,107226,0.06650315163296044,0
24,119870,-0.0063914885104808805,1
25,60418,0.1201726364383559,0
20,48944,0.03002597953306818,0
46,82685,0.11804103836134633,0
31,40979,0.09872310465989836,0
45,102834,0.09324889819140192,0
26,41871,0.09633992358208465,0
49,37424,0.1166840042693103,0
47,64659,0.13784862849494078,0
34,79649,0.1076021021168499,0
47,62332,0.13646766560398044,0
40,109491,0.094670553125976,0
45,82269,0.11787298474196606,0
21,69979,0.08440914322615539,0
29,65927,0.1360163787789876,0
42,115828,0.07587134234956994,0
55,47441,0.08682414320383702,0
24,109007,0.06927077639028728,0
40,37473,0.0932090459578584,0
37,63415,0.13406460248921614,0
23,88130,0.08650570385550627,0
47,31315,0.06787736044091536,0
31,43368,0.107297275806151,0
54,47009,0.10088371276473163,0
57,60395,0.0352707463298354,0
52,43298,0.10790169657939552,0
59,68119,0.04585406261229075,0
58,45680,0.044510539588761056,0
37,81223,0.11367761054816622,0
26,72179,0.13222337457010502,0
26,109767,0.07713221311448959,0
47,36703,0.12196827035438795,0
25,75722,0.1188620011423504,0
30,59565,0.13225701647547594,0
24,95041,0.09045209134633209,0
47,61819,0.13778549923938754,0
24,62032,0.11822577180670829,0
45,89931,0.11226674822194821,0
23,83930,0.09296541933349767,0
50,119446,-0.012880328768640759,1
59,72220,0.04614611490397513,0
36,68985,0.1244183744180355,0
21,36050,0.020136188084809326,0
45,57736,0.1254012575290956,0
52,38246,0.10702717048095695,0
41,83158,0.11175494088192128,0
20,66192,0.03575440397367391,0
52,73664,0.08367431094251843,0
38,71497,0.1213318527894382,0
51,39642,0.09954519711661242,0
21,119262,-0.028381145324709145,1
46,77289,0.13199569784135828,0
54,92420,0.055073728344350426,0
47,116344,0.07541386341859785,0
37,111661,0.08725043309377589,0
46,115562,0.08823826325758982,0
24,75665,0.11597584099050284,0
55,106963,0.049815328625583244,0
43,61837,0.13459559492094775,0
54,53549,0.08806060724193832,0
52,50963,0.09199843374310379,0
46,46994,0.11818011931630018,0
24,94489,0.09261420652279151,0
47,41681,0.12827320068743964,0
43,96860,0.09034103518360354,0
28,53697,0.11435415975572305,0
37,49815,0.11011264783459362,0
47,112109,0.10528923100217591,0
32,72467,0.1275930713977833,0
41,78215,0.1255741231901369,0
28,118348,0.0020498490080678167,0
28,112141,0.058870571225823065,0
43,33995,0.07597970237178792,0
21,96624,0.02863468765318411,0
34,94348,0.0858266976333883,0
48,39130,0.12158117115810413,0
41,111521,0.10606411444002001,0
36,109879,0.07429085214093589,0
49,89999,0.1050446790750964,0
44,114518,0.09048082602904733,0
45,36165,0.10258059118140794,0
22,116000,-0.0001078867898982594,1
26,83297,0.11142628640241686,0
34,88612,0.0927296035652958,0
33,57895,0.1286823846670206,0
24,56004,0.1026153883774315,0
49,36666,0.11183944324608919,0
55,32524,0.03809748964532944,0
56,114249,0.015892566695284605,0
59,39277,0.03708138926843474,0
50,50,-0.13693843138662443,1
200,200,-0.28021900340211414,1
